金融学的基本内容是如何定义的？,金融学的基本内容在最宽的理解下包括财政学和公司理财学，是一个关于货币、信用、利息与利率、汇率以及金融本身等范畴的理论和实践体系。
为什么《金融学》一书多内容相异？,由于对“金融”和finance的使用在中国和外国都存在差异，导致以《金融学》为名的书籍内容多样。有的源自于其他金融教材的内容，有的讲述金融市场和金融机构，使人们对此感到困惑。
哪些学科的内容与金融学科有类似的问题？,在《信息经济学》一书的名义下，也出现了类似的问题。有些内容从信息论的视角讨论经济问题，有些则是以信息产业的发展为研究对象，导致了内容的迥异。
金融学科主要包括哪三部分的内容？,金融学科的理论部分主要包括对金融范畴的理论论证，金融的微观分析，和对金融的实证分析。前者涵盖货币、信用、利息与利率、汇率等范畴的理论论证；后者包括对金融市场的分析以及金融中介机构的分析。
为什么中国人对于苏联学者提出的“大财政”观念心存疑虑？,中国人不认为金融学科体系应该把财政学和公司理财学包含在内，而认为单纯的资本市场学并不满足金融学科的要求，因此对于“大财政”的观念心存疑虑。
金融学的“理论部分”主要包括哪些内容？,金融学的“理论部分”主要包括关于货币、信用、利息与利率、汇率，乃至金融本身等范畴的剖析和论证。
金融学的微观分析主要包括哪些内容？,金融学的微观分析主要包括对金融市场的分析和对金融中介机构的分析。
《金融经济学》一书的内容主要讲述了什么？,《金融经济学》一书讲述了金融市场和金融机构，以代表之一的兹维·博迪、罗伯特·C.默顿和戴维·L.克利顿的《金融学》为例。
不包含财政学和公司理财学的金融学科体系在中国引起了怎样的争议？,金融学科体系在中国引起了关于其范围的争议，财政学和公司理财学没有被包含在内，使得中国学者对金融学科的范畴产生争议。
20世纪50年代初中国人对金融学科体系中财政学和公司理财学的分歧是怎样的？,中国人并不赞同把金融学科体系中包含财政学和公司理财学的观念，在20世纪50年代初，一些中国人不认为金融学科应该包括财政学和公司理财学。
金融学科体系的理论内容包括哪些主要方面？,金融学科体系的理论内容主要包括对金融范畴的理论论证，金融的微观分析和金融的宏观分析。在理论内容的分析中，囊括了交易媒介、流通手段以及整体货币供需的分析。
金融的宏观分析具体包括哪些内容？,金融的宏观分析主要包括货币需求与货币供给、货币均衡与市场均衡、利率形成与汇率形成、通货膨胀与通货紧缩、金融危机、国际资本流动与国际金融振荡、名义经济与实际经济、虚拟经济与实体经济、货币政策及其与财政政策等宏观调控政策的配合，国际金融的制度安排等方面的内容。
金融学科体系图中的“货币经济学”指的是哪一部分的内容？,"在金融学科体系图上，""货币经济学""所指的是金融的宏观分析层面的内容。货币经济学通常包括金融的宏观分析，涉及货币供给与需求、货币政策及其与财政政策等方面。"
金融学的微观分析包括哪些具体内容？,金融学的微观分析大致包括对金融市场的分析、对金融中介机构的分析、论证金融市场与金融中介机构相互渗透的必然趋势、以及金融功能分析等内容。
国外经济学界普遍如何使用“finance”这个词？,"近年来，国外的经济学界通常以最窄的口径使用 ""finance"" 这个词，其学科对象主要是金融市场。在少数情况下也会包括金融市场与金融中介。"
对金融学中微观分析和宏观分析在国外经济学界如何命名？,"在当前西方的经济学界，相当多地使用 ""Finance"" 或 ""Financial Economics"" 来称呼金融的微观分析层面；而对于宏观分析层面，则另有一个学科名称""Money Economics""，约等于中文的“货币经济学”。"
金融学科体系中图0-1的组成分析分别指代哪些内容？,金融学科体系图中的金融的范畴分析即金融的宏观分析；金融的宏观分析指的是货币的需求和供给等方面的内容；金融市场分析指的是金融市场的分析；金融中介分析指的是金融中介机构的分析。
金融的宏观分析层面的研究在金融学科体系中处于哪种地位？,"金融的宏观分析层面在金融学科体系中并不包括在 ""Finance"" 或 ""Financial Economics"" 之中，而是另有一个学科名称——""Money Economics""，译为“货币经济学”。"
金融学和货币经济学的研究对象有何不同？,金融学研究的对象是金融市场，包括金融的微观分析层面；而货币经济学则是与整体经济的宏观分析相关的，是宏观经济学的一部分。
货币经济学与宏观经济学的关系是什么？,货币经济学是宏观经济学的一部分，虽然相对独立，但是是宏观经济分析的重要组成部分。它依然具有在宏观经济学的旁边独立存在的理由。
为什么货币经济学不失去作为一个独立学科的理由？,货币经济学不因宏观经济学的存在而失去作为一个独立学科存在的理由有两方面原因：其一，宏观经济学只能在总体框架内展开对金融的侧面分析，而限制较多，而货币经济学独立存在对金融问题的钻研较为深入；其二，货币经济学与金融的微观分析有着直接的紧密联系。
金融微观分析和金融宏观分析之间的联系是如何的？,金融宏观分析与金融微观分析有着直接的紧密联系。专攻金融领域的宏观分析通过直接依靠金融微观分析的基础，提供了在宏观经济学的旁边独立存在的理由。
金融宏观分析和金融微观分析分别对应于哪两个不同的学科？,金融的微观分析对应于金融学或金融经济学，而金融的宏观分析则对应于货币经济学。尽管名称看起来是两个截然不同的学科，但其内容与深度是有明确联系的。
20世纪30年代已经有结合金融的宏观分析和微观分析的学科吗？,是的，20世纪30年代经济学开始区分为宏观和微观两个部分之前，已经形成了“货币银行学”这样的学科，将金融的宏观分析层面和微观分析层面结合在一门学科之内。
金融的宏观分析层面与微观分析层面是否存在对应的专门学科？,是的，20世纪30年代经济学开始区分为宏观和微观两个部分之前就已形成了独立学科的“货币银行学”，将两个分析层面结合在一门学科之内。
为什么金融学的宏观分析并不包括在Financial Economics之中？,金融学的宏观分析并不包括在Financial Economics之中，主要是因为其独立性相当强，虽然从宏观经济学的角度考察金融的侧面，但对金融问题的钻研有其限度。
为何金融的宏观分析对整体框架有限制？,金融的宏观分析在教程的框架内对整体框架有限制，因为它只能限定在总体框架内进行分析，不能不受限制地扩展和深入。同时，宏观经济学是对整个经济的宏观分析，不是专门针对金融问题的深入研究。
微观层面和宏观层面在金融领域的结合是否存在相应的学科？,"存在，称为""货币银行学""，形成于20世纪30年代，早于经济学分为宏观和微观两个部分的学科分化。"
货币银行学课程早在什么时候就已形成定型？,货币银行学的课程在20世纪20年代前就已形成定型。
20世纪40年代末出现了哪本对当时货币银行学思想具有影响力的教材？,20世纪40年代末出现了李达教授的《货币学概论》，该教材以苏联有关的教程为蓝本，实际是半部货币银行学。
“The Economics of Money and Banking”是什么时候出版的一本具有权威性的教材？,"该教材于20世纪70年前后出版，是一本具有权威性的教材，标志着""货币银行学""的命名由过去的""Mondy and Banking""发展为""The Economics of Money and Banking""。"
20世纪30年代的《货币银行学》教程内容相对于今天的相应教材具有什么特点？,20世纪30年代的《货币银行学》教程内容相对于今天的相应教材要简略得多。
《货币银行学》一书的第一版译自哪个教材，它来源于哪个国家？,"《货币银行学》一书的第一版是1927年美国教材""Principles of Money and Banking""的译本。"
"在20世纪30年代，华中有哪位教授开设了""货币银行学讲座""？","在20世纪30年代，清华大学开设了""货币银行学讲座""，并且有记载。"
20世纪30年代的《货币银行学》一书的作者是谁？,20世纪30年代的《货币银行学》一书的作者是朱彬元。
20世纪40年代末，李达教授的教材的框架与西方国家的货币银行学教材有何不同？,20世纪40年代末，李达教授的教材的框架与西方国家的货币银行学教材没有原则的区别。
什么是中国改革开放初期翻译过来的著名教材？,中国改革开放初期翻译过来最早的著名教材是美国的教材《The Economics of Money and Banking》，是20世纪70年代前后具有权威性的一本教材。
在弗雷德里克·S.米什金的教材中，金融市场的加入代表了什么意义？,在弗雷德里克·S.米什金的教材中，金融市场的加入代表了金融市场近几十年的飞速发展和金融市场理论研究所取得的巨大成就。
《货币银行学》与《货币、银行、金融市场学》的不同之处在哪里？,《货币银行学》与《货币、银行、金融市场学》相比，《货币银行学》到《货币、银行、金融市场学》经历了不断地调整、增补，有明显的提高，呈现出一个逐步完善的发展历程。
《货币金融学》的书名的多次更名体现了什么情况？,"《货币金融学》的书名从《货币银行学》到《货币银行经济学》,再到《货币、银行、金融市场学》的多次更名体现了教材在不断地调整、改进，并有明显的提高。"
为什么《货币银行学》采用了《金融学》的名称？,《货币银行学》采用了《金融学》的名称，主要有两点原因：一是传统的货币银行学在国外已经经历了多次更名和变化，采用《货币银行学》的名称过于古老；二是教材对“金融”的界定是立足于中国多年来习惯形成的观念，故改用《金融学》的名称。
"教材《The Economics of Money and Banking》与《The Economics of Money, Banking, and Financial Markets》的名称变化体现了什么？","从《The Economics of Money and Banking》到《The Economics of Money, Banking, and Financial Markets》的名称变化反映了金融市场近几十年的发展和金融市场理论研究的成就。"
教材中关于“金融”的定义是什么？,本教材中对“金融”的定义是立足于中国多年来习惯形成的观念。
在中国改革开放初期翻译过来的一本最早的教材具有哪些主要特点？,在中国改革开放初期翻译过来的一本最早的教材代表了当时货币银行学的发展水平，其宏观分析思路和微观分析思路清晰明了。
该教材的基本内容构成有何特点？,本教材的基本内容构成包括金融范畴、金融宏观分析和金融微观分析，这样的构成没有变化。
《货币银行学(第七版)》改名为《金融学》的考虑是什么？,《货币银行学(第七版)》改名为《金融学》的考虑是出于传统的货币银行学名称过于古老、对“金融”的界定更简单易懂、及易于表达本教材包括金融学科体系内容的基本要点的考虑。名字的变更主要是基于对金融的内容和定义的考量。
《金融学》包含哪些金融学科体系的基本要点？,《金融学》包含金融的宏观分析层面和金融的微观分析层面内容。它不仅包括了金融的基本概念，还涵盖了金融学科体系的基本要点，是对“金融”的较为全面的定义。
"为什么要将《金融学》的名称英译为""Economics of Money and Finance""？","将《金融学》的名称英译为""Economics of Money and Finance""是为了表达本教材包括金融学科体系内容的基本要点，特别是兼及金融的宏观分析层面和金融的微观分析层面。这个英译名更能准确地反映从宏观到微观的全方位内容。"
