金融学科体系中的内容由来自不同学科的理论如何解释？,金融学科体系中的内容往往包含不同学科的理论，从不同的视角来解释金融学问题。有些以《金融学》为名的书籍实际是以《货币银行学》教材的内容命名，也有以《金融学》命名的书籍在内容上讲的是关于微观金融运行，特别是有关金融市场的学问。这样带来了对“金融”不同含义的困扰。
金融学科的基本内容主要分为哪些部分？,金融学科的基本内容以对有关金融诸范畴的理论论证为主，包括关于货币、信用、利息与利率、汇率等范畴的剖析和论证；对金融的微观分析，包括金融市场的分析、金融中介机构的分析，以及金融功能分析；对金融的宏观分析，包括货币需求与供给、利率和汇率的形成，通货膨胀与通货紧缩，金融危机等宏观调控政策的配合，以及国际金融等。
20世纪50年代初，金融学科体系是否包括了财政学和公司理财学？,20世纪50年代初，金融学科体系包含财政学和公司理财学。在中国，当时称之为“大财政”，并把苏联的PHHaHCbI等同于金融。
金融学科内容的不同命名形式如何影响人们对金融学的理解？,金融学科内容的不同命名形式容易使人产生困惑。由于对“金融”存在着不同的用法，涉及金融的学科有同一的名称而内容不同；也有同一的内容，可以有不同的名称，这会使人理解金融学的概念时产生混淆。
说明《金融经济学》的学科内容以及与《金融学》是否相似？,《金融经济学》的译名称之为金融经济学，是讲的内容是金融市场和金融机构，与《金融学》的内容较为相似。
金融学如何包含了西方的财政学和公司理财学？,在西方讲金融学科时，把财政学和公司理财学包含在金融学科体系之内。这反映了金融学从最宽的理解出发，不仅包含了货币金融学的范畴，也包含了“大财政”和公司理财学的内容。
金融学内容的多元性如何造成学术困扰？,金融学内容的多元性使人们很容易受到学术困扰。在同名的标题下，内容相差很大，而不同标题下的内容却可能是类似的，这带来了对金融学学科具体内容的困惑。
在金融学的基础内容中，对金融的宏观分析包括哪些内容？,金融的宏观分析主要包括货币供求、市场均衡、通货膨胀与通货紧缩、国际金融等内容。货币需求与供给、利率和汇率的形成，虚拟经济与实体经济，货币政策及与财政政策等宏观调控政策的配合也是在其中。
金融学不包含财政学和公司理财学的定义是如何做出的？,金融学不包含财政学和公司理财学，但又不限于资本市场学的定义，在其理论部分的内容中是基于对“金融”最宽的理解出发，包括对金融诸范畴的理论论证、金融的微观分析和宏观分析。
在金融学科体系中，理论包括哪三个主要方面？,金融学科体系的理论主要包括对金融诸范畴的理论论证，包括货币、信用、利息、利率、汇率以及金融本身等范畴的研究，对金融的微观分析和宏观分析。
